"ID_Venta","ID_Producto","Fecha","Zip","Unidades","Ingreso","Pais.x","Producto","Categoria","Segmento","Fabricante","Estado","Pais.y"
1,1924,"2/9/2015","M5R",1,4409.37,"Canada","Currus MA-17","Mix","All Season","Currus","Ontario","Canada"
2,1517,"5/31/2015","R3G",1,2361.24,"Canada","Quibus RP-09","Rural","Productivity","Quibus","Manitoba","Canada"
3,615,"5/31/2015","M4V",1,8189.37,"Canada","Maximus UC-80","Urban","Convenience","VanArsdel","Ontario","Canada"
4,1530,"5/31/2015","R3H",1,4282.74,"Canada","Quibus RP-22","Rural","Productivity","Quibus","Manitoba","Canada"
5,1226,"6/1/2015","L5P",1,6866.37,"Canada","Pirum UC-28","Urban","Convenience","Pirum","Ontario","Canada"
6,1809,"6/1/2015","L5R",1,2771.37,"Canada","Pomum YY-04","Youth","Youth","Pomum","Ontario","Canada"
7,1212,"6/1/2015","L5N",1,4850.37,"Canada","Pirum UC-14","Urban","Convenience","Pirum","Ontario","Canada"
8,1821,"6/1/2015","L5R",1,3779.37,"Canada","Pomum YY-16","Youth","Youth","Pomum","Ontario","Canada"
9,1223,"6/1/2015","M4K",1,4787.37,"Canada","Pirum UC-25","Urban","Convenience","Pirum","Ontario","Canada"
10,1850,"6/1/2015","L5L",1,1826.37,"Canada","Pomum YY-45","Youth","Youth","Pomum","Ontario","Canada"
11,993,"5/28/2015","R3V",1,4598.37,"Canada","Natura UC-56","Urban","Convenience","Natura","Manitoba","Canada"
12,1243,"5/28/2015","R3V",1,5794.74,"Canada","Quibus MP-11","Mix","Productivity","Quibus","Manitoba","Canada"
13,2350,"5/28/2015","L5G",1,4466.7,"Canada","Aliqui UE-24","Urban","Extreme","Aliqui","Ontario","Canada"
14,1530,"5/28/2015","M6G",1,5038.74,"Canada","Quibus RP-22","Rural","Productivity","Quibus","Ontario","Canada"
15,2240,"5/28/2015","M4P",1,1070.37,"Canada","Aliqui RP-37","Rural","Productivity","Aliqui","Ontario","Canada"
16,2365,"5/28/2015","R3G",1,6356.7,"Canada","Aliqui UC-13","Urban","Convenience","Aliqui","Manitoba","Canada"
17,2206,"5/29/2015","R3V",1,1227.87,"Canada","Aliqui RP-03","Rural","Productivity","Aliqui","Manitoba","Canada"
18,2219,"5/29/2015","M6S",1,1889.37,"Canada","Aliqui RP-16","Rural","Productivity","Aliqui","Ontario","Canada"
19,993,"5/29/2015","R3B",1,4409.37,"Canada","Natura UC-56","Urban","Convenience","Natura","Manitoba","Canada"
20,2275,"5/29/2015","M6S",1,4724.37,"Canada","Aliqui RS-08","Rural","Select","Aliqui","Ontario","Canada"
21,2343,"5/29/2015","M5X",1,6167.7,"Canada","Aliqui UE-17","Urban","Extreme","Aliqui","Ontario","Canada"
22,491,"5/29/2015","M5X",1,10709.37,"Canada","Maximus UM-96","Urban","Moderation","VanArsdel","Ontario","Canada"
23,690,"5/25/2015","M4E",1,4409.37,"Canada","Maximus UC-55","Urban","Convenience","VanArsdel","Ontario","Canada"
24,690,"5/25/2015","M4N",1,4409.37,"Canada","Maximus UC-55","Urban","Convenience","VanArsdel","Ontario","Canada"
25,487,"5/25/2015","L4X",1,13229.37,"Canada","Maximus UM-92","Urban","Moderation","VanArsdel","Ontario","Canada"
26,2332,"5/26/2015","M4E",1,5921.37,"Canada","Aliqui UE-06","Urban","Extreme","Aliqui","Ontario","Canada"
27,2405,"5/26/2015","M7Y",1,5102.37,"Canada","Aliqui YY-14","Youth","Youth","Aliqui","Ontario","Canada"
28,2367,"5/26/2015","K1R",1,5663.7,"Canada","Aliqui UC-15","Urban","Convenience","Aliqui","Ontario","Canada"
29,244,"5/27/2015","L5N",1,7556.85,"Canada","Fama UR-16","Urban","Regular","Fama","Ontario","Canada"
30,993,"5/27/2015","R3G",1,4598.37,"Canada","Natura UC-56","Urban","Convenience","Natura","Manitoba","Canada"
31,2097,"6/21/2015","R3G",1,5858.37,"Canada","Currus YY-01","Youth","Youth","Currus","Manitoba","Canada"
32,927,"6/22/2015","M6G",1,6173.37,"Canada","Natura UE-36","Urban","Extreme","Natura","Ontario","Canada"
33,590,"6/22/2015","L5P",1,10709.37,"Canada","Maximus UC-55","Urban","Convenience","VanArsdel","Ontario","Canada"
34,491,"6/22/2015","R2W",1,10709.37,"Canada","Maximus UM-96","Urban","Moderation","VanArsdel","Manitoba","Canada"
